timestamp,id,goal,context,is_replan,ok,fail_reason,plan_time_ms,nodes_expanded,nodes_generated,open_list_max,path_len_m,path_cost_grid,w
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:49,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.011,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
2025-08-31 02:07:50,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.015,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.01,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.006,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.005,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.017,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.007,1,0,1,0.0,,1.5
2025-08-31 02:07:51,cb5846,Street Parade,proactive,1,0,no_path,0.008,1,0,1,0.0,,1.5
